transcript_id,protein_id,gene_id
XM_031518106.1,XP_031373966.1,LOC116188628
XM_031518107.1,XP_031373967.1,LOC116188631
XM_031518108.1,XP_031373968.1,LOC116188629
XM_031518109.1,XP_031373969.1,LOC116188633
XM_031518110.1,XP_031373970.1,LOC116188634
XM_031518111.1,XP_031373971.1,LOC116188635
XM_031518112.1,XP_031373972.1,LOC116188557
XM_031518113.1,XP_031373973.1,LOC116188635
XM_031518114.1,XP_031373974.1,LOC116188636
XM_031518115.1,XP_031373975.1,LOC116188637
XM_031518116.1,XP_031373976.1,LOC116188629
XM_031518117.1,XP_031373977.1,LOC116188638
XM_031518118.1,XP_031373978.1,LOC116188638
XM_031518119.1,XP_031373979.1,LOC116188639
XM_031518120.1,XP_031373980.1,LOC116188639
XM_031518121.1,XP_031373981.1,LOC116188640
XM_031518122.1,XP_031373982.1,LOC116188640
XM_031518123.1,XP_031373983.1,LOC116188641
XM_031518124.1,XP_031373984.1,LOC116188641
XM_031518125.1,XP_031373985.1,LOC116188629
XM_031518126.1,XP_031373986.1,LOC116188642
XM_031518127.1,XP_031373987.1,LOC116188642
XM_031518128.1,XP_031373988.1,LOC116188642
XM_031518129.1,XP_031373989.1,LOC116188642
XM_031518130.1,XP_031373990.1,LOC116188643
XM_031518131.1,XP_031373991.1,LOC116188644
XM_031518133.1,XP_031373993.1,LOC116188629
XM_031518134.1,XP_031373994.1,LOC116188647
XM_031518135.1,XP_031373995.1,LOC116188648
XM_031518136.1,XP_031373996.1,LOC116188649
XM_031518137.1,XP_031373997.1,LOC116188650
XM_031518138.1,XP_031373998.1,LOC116188651
XM_031518139.1,XP_031373999.1,LOC116188653
XM_031518140.1,,LOC116188655
XM_031518140.1,,LOC116188655
XM_031518141.1,XP_031374001.1,LOC116188656
XM_031518142.1,XP_031374002.1,LOC116188656
XM_031518143.1,XP_031374003.1,LOC116188657
XM_031518144.1,XP_031374004.1,LOC116188654
XM_031518145.1,XP_031374005.1,LOC116188658
XM_031518146.1,XP_031374006.1,LOC116188659
XM_031518147.1,XP_031374007.1,LOC116188659
XM_031518148.1,XP_031374008.1,LOC116188660
XM_031518149.1,XP_031374009.1,LOC116188660
XM_031518150.1,XP_031374010.1,LOC116188661
XM_031518151.1,XP_031374011.1,LOC116188661
XM_031518152.1,XP_031374012.1,LOC116188664
XM_031518153.1,XP_031374013.1,LOC116188665
XM_031518154.1,XP_031374014.1,LOC116188666
XM_031518155.1,XP_031374015.1,LOC116188663
XM_031518156.1,XP_031374016.1,LOC116188667
XM_031518157.1,XP_031374017.1,LOC116188668
XM_031518158.1,XP_031374018.1,LOC116188670
XM_031518159.1,XP_031374019.1,LOC116188671
XM_031518160.1,XP_031374020.1,LOC116188672
XM_031518161.1,XP_031374021.1,LOC116188673
XM_031518162.1,XP_031374022.1,LOC116188675
XM_031518163.1,XP_031374023.1,LOC116188676
XM_031518164.1,,LOC116188678
XM_031518165.1,XP_031374025.1,LOC116188679
XM_031518166.1,XP_031374026.1,LOC116188683
XM_031518167.1,XP_031374027.1,LOC116188684
XM_031518168.1,XP_031374028.1,LOC116188682
XM_031518169.1,XP_031374029.1,LOC116188685
XM_031518170.1,XP_031374030.1,LOC116188686
XM_031518171.1,XP_031374031.1,LOC116188687
XM_031518172.1,XP_031374032.1,LOC116188688
XM_031518173.1,XP_031374033.1,LOC116188689
XM_031518174.1,XP_031374034.1,LOC116188690
XM_031518175.1,XP_031374035.1,LOC116188691
XM_031518176.1,XP_031374036.1,LOC116188682
XM_031518177.1,XP_031374037.1,LOC116188692
XM_031518178.1,XP_031374038.1,LOC116188693
XM_031518179.1,XP_031374039.1,LOC116188694
XM_031518180.1,XP_031374040.1,LOC116188696
XM_031518181.1,XP_031374041.1,LOC116188697
XM_031518182.1,XP_031374042.1,LOC116188682
XM_031518183.1,XP_031374043.1,LOC116188698
XM_031518184.1,XP_031374044.1,LOC116188699
XM_031518185.1,,LOC116188700
XM_031518185.1,,LOC116188700
XM_031518186.1,,LOC116188701
XM_031518187.1,XP_031374047.1,LOC116188702
XM_031518188.1,XP_031374048.1,LOC116188703
XM_031518189.1,XP_031374049.1,LOC116188704
XM_031518190.1,XP_031374050.1,LOC116188706
XM_031518191.1,XP_031374051.1,LOC116188707
XM_031518192.1,XP_031374052.1,LOC116188708
XM_031518193.1,XP_031374053.1,LOC116188705
XM_031518194.1,XP_031374054.1,LOC116188709
XM_031518195.1,XP_031374055.1,LOC116188710
XM_031518196.1,XP_031374056.1,LOC116188711
XM_031518197.1,XP_031374057.1,LOC116188712
XM_031518198.1,XP_031374058.1,LOC116188713
XM_031518199.1,XP_031374059.1,LOC116188714
XM_031518200.1,XP_031374060.1,LOC116188716
XM_031518201.1,XP_031374061.1,LOC116188717
XM_031518202.1,XP_031374062.1,LOC116188718
XM_031518203.1,XP_031374063.1,LOC116188715
XM_031518204.1,XP_031374064.1,LOC116188719
XM_031518205.1,XP_031374065.1,LOC116188720
XM_031518207.1,XP_031374067.1,LOC116188723
XM_031518209.1,XP_031374069.1,LOC116187501
XM_031518210.1,XP_031374070.1,LOC116188695
XM_031518211.1,XP_031374071.1,LOC116188721
XM_031518212.1,XP_031374072.1,LOC116188725
XM_031518213.1,XP_031374073.1,LOC116188727
XM_031518214.1,XP_031374074.1,LOC116188729
XM_031518215.1,XP_031374075.1,LOC116188730
XM_031518216.1,XP_031374076.1,LOC116188734
XM_031518217.1,XP_031374077.1,LOC116188735
XM_031518218.1,XP_031374078.1,LOC116188732
XM_031518219.1,XP_031374079.1,LOC116188737
XM_031518220.1,XP_031374080.1,LOC116188738
XM_031518221.1,XP_031374081.1,LOC116188739
XM_031518222.1,XP_031374082.1,LOC116188740
XM_031518223.1,XP_031374083.1,LOC116188742
XM_031518224.1,XP_031374084.1,LOC116188743
XM_031518225.1,XP_031374085.1,LOC116188744
XM_031518226.1,XP_031374086.1,LOC116188741
XM_031518227.1,XP_031374087.1,LOC116188745
XM_031518228.1,XP_031374088.1,LOC116188746
XM_031518229.1,XP_031374089.1,LOC116188747
XM_031518230.1,XP_031374090.1,LOC116188749
XM_031518231.1,XP_031374091.1,LOC116188750
XM_031518232.1,XP_031374092.1,LOC116188752
XM_031518233.1,XP_031374093.1,LOC116188753
XM_031518234.1,XP_031374094.1,LOC116188754
XM_031518235.1,XP_031374095.1,LOC116188755
XM_031518236.1,XP_031374096.1,LOC116188756
XM_031518237.1,XP_031374097.1,LOC116188751
XM_031518238.1,XP_031374098.1,LOC116188762
XM_031518239.1,XP_031374099.1,LOC116188763
XM_031518240.1,XP_031374100.1,LOC116188761
XM_031518241.1,XP_031374101.1,LOC116188767
XM_031518242.1,XP_031374102.1,LOC116188770
XM_031518243.1,XP_031374103.1,LOC116188771
XM_031518244.1,XP_031374104.1,LOC116188768
XM_031518245.1,XP_031374105.1,LOC116188772
XM_031518246.1,XP_031374106.1,LOC116188773
XM_031518247.1,XP_031374107.1,LOC116188774
XM_031518248.1,XP_031374108.1,LOC116188775
XM_031518249.1,XP_031374109.1,LOC116188779
XM_031518250.1,XP_031374110.1,LOC116188776
XM_031518251.1,XP_031374111.1,LOC116188781
XM_031518252.1,XP_031374112.1,LOC116188782
XM_031518253.1,XP_031374113.1,LOC116188776
XM_031518254.1,XP_031374114.1,LOC116188783
XM_031518255.1,XP_031374115.1,LOC116188784
XM_031518256.1,XP_031374116.1,LOC116188785
XM_031518257.1,XP_031374117.1,LOC116188786
XM_031518258.1,XP_031374118.1,LOC116188787
XM_031518259.1,XP_031374119.1,LOC116188788
XM_031518260.1,XP_031374120.1,LOC116188789
XM_031518261.1,XP_031374121.1,LOC116188791
XM_031518262.1,XP_031374122.1,LOC116188792
XM_031518263.1,XP_031374123.1,LOC116188790
XM_031518264.1,XP_031374124.1,LOC116188793
XM_031518265.1,XP_031374125.1,LOC116188795
XM_031518266.1,XP_031374126.1,LOC116188796
XM_031518267.1,XP_031374127.1,LOC116188797
XM_031518268.1,XP_031374128.1,LOC116188798
XM_031518269.1,XP_031374129.1,LOC116188790
XM_031518270.1,XP_031374130.1,LOC116188799
XM_031518271.1,XP_031374131.1,LOC116188800
XM_031518272.1,XP_031374132.1,LOC116188801
XM_031518273.1,XP_031374133.1,LOC116188802
XM_031518274.1,XP_031374134.1,LOC116188780
XM_031518275.1,XP_031374135.1,LOC116188803
XM_031518276.1,XP_031374136.1,LOC116188805
XM_031518277.1,XP_031374137.1,LOC116188806
XM_031518278.1,XP_031374138.1,LOC116188807
XM_031518279.1,XP_031374139.1,LOC116188804
XM_031518280.1,XP_031374140.1,LOC116188808
XM_031518281.1,XP_031374141.1,LOC116188810
XM_031518282.1,XP_031374142.1,LOC116188811
XM_031518283.1,XP_031374143.1,LOC116188812
XM_031518284.1,,LOC116188814
XM_031518285.1,XP_031374145.1,LOC116188816
XM_031518286.1,XP_031374146.1,LOC116188817
XM_031518287.1,XP_031374147.1,LOC116188818
XM_031518288.1,XP_031374148.1,LOC116188820
XM_031518289.1,XP_031374149.1,LOC116188819
XM_031518290.1,XP_031374150.1,LOC116188823
XM_031518291.1,XP_031374151.1,LOC116188825
XM_031518292.1,XP_031374152.1,LOC116188826
XM_031518293.1,XP_031374153.1,LOC116188819
XM_031518294.1,XP_031374154.1,LOC116188827
XM_031518295.1,XP_031374155.1,LOC116188828
XM_031518296.1,XP_031374156.1,LOC116188831
XM_031518297.1,XP_031374157.1,LOC116188832
XM_031518298.1,XP_031374158.1,LOC116188834
XM_031518299.1,XP_031374159.1,LOC116188835
XM_031518300.1,XP_031374160.1,LOC116188837
XM_031518301.1,XP_031374161.1,LOC116188840
XM_031518302.1,XP_031374162.1,LOC116188838
XM_031518303.1,XP_031374163.1,LOC116188842
XM_031518304.1,XP_031374164.1,LOC116188843
XM_031518305.1,XP_031374165.1,LOC116188844
XM_031518306.1,XP_031374166.1,LOC116188845
XM_031518307.1,XP_031374167.1,LOC116188846
XM_031518308.1,XP_031374168.1,LOC116188847
XM_031518309.1,XP_031374169.1,LOC116188838
XM_031518310.1,XP_031374170.1,LOC116188848
XM_031518311.1,XP_031374171.1,LOC116188849
XM_031518312.1,XP_031374172.1,LOC116188851
XM_031518313.1,XP_031374173.1,LOC116188853
XM_031518314.1,XP_031374174.1,LOC116188838
XM_031518315.1,XP_031374175.1,LOC116188854
XM_031518317.1,XP_031374177.1,LOC116188856
XM_031518318.1,XP_031374178.1,LOC116188858
XM_031518319.1,XP_031374179.1,LOC116188859
XM_031518320.1,XP_031374180.1,LOC116188860
XM_031518321.1,XP_031374181.1,LOC116188838
XM_031518322.1,XP_031374182.1,LOC116188863
XM_031518323.1,XP_031374183.1,LOC116188864
XM_031518324.1,XP_031374184.1,LOC116188838
XM_031518325.1,XP_031374185.1,LOC116188866
XM_031518326.1,XP_031374186.1,LOC116188867
XM_031518327.1,,LOC116188868
XM_031518328.1,XP_031374188.1,LOC116188869
XM_031518329.1,XP_031374189.1,LOC116188870
XM_031518330.1,XP_031374190.1,LOC116188872
XM_031518331.1,XP_031374191.1,LOC116188873
XM_031518332.1,XP_031374192.1,LOC116188874
XM_031518333.1,XP_031374193.1,LOC116188871
XM_031518334.1,XP_031374194.1,LOC116188875
XM_031518335.1,XP_031374195.1,LOC116188876
XM_031518336.1,XP_031374196.1,LOC116188877
XM_031518337.1,XP_031374197.1,LOC116188878
XM_031518338.1,XP_031374198.1,LOC116188879
XM_031518339.1,XP_031374199.1,LOC116188871
XM_031518340.1,XP_031374200.1,LOC116188881
XM_031518341.1,XP_031374201.1,LOC116188882
XM_031518342.1,XP_031374202.1,LOC116188885
XM_031518343.1,XP_031374203.1,LOC116188886
XM_031518344.1,XP_031374204.1,LOC116188871
XM_031518345.1,XP_031374205.1,LOC116188887
XM_031518346.1,XP_031374206.1,LOC116188888
XM_031518347.1,XP_031374207.1,LOC116188861
XM_031518349.1,XP_031374209.1,LOC116188890
XM_031518350.1,XP_031374210.1,LOC116188893
XM_031518351.1,XP_031374211.1,LOC116188894
XM_031518352.1,XP_031374212.1,LOC116188895
XM_031518353.1,XP_031374213.1,LOC116188892
XM_031518354.1,XP_031374214.1,LOC116188896
XM_031518355.1,XP_031374215.1,LOC116188901
XM_031518356.1,XP_031374216.1,LOC116188902
XM_031518357.1,XP_031374217.1,LOC116188906
XM_031518358.1,XP_031374218.1,LOC116188903
XM_031518359.1,XP_031374219.1,LOC116188908
XM_031518360.1,XP_031374220.1,LOC116188909
XM_031518361.1,XP_031374221.1,LOC116188910
XM_031518362.1,XP_031374222.1,LOC116188911
XM_031518363.1,XP_031374223.1,LOC116188914
XM_031518364.1,XP_031374224.1,LOC116188913
XM_031518365.1,XP_031374225.1,LOC116188915
XM_031518366.1,XP_031374226.1,LOC116188916
XM_031518367.1,XP_031374227.1,LOC116188917
XM_031518368.1,XP_031374228.1,LOC116188917
XM_031518369.1,XP_031374229.1,LOC116188917
XM_031518370.1,XP_031374230.1,LOC116188920
XM_031518371.1,XP_031374231.1,LOC116188921
XM_031518372.1,XP_031374232.1,LOC116188922
XM_031518373.1,XP_031374233.1,LOC116188919
XM_031518374.1,XP_031374234.1,LOC116188923
XM_031518375.1,XP_031374235.1,LOC116188923
XM_031518376.1,XP_031374236.1,LOC116188924
XM_031518377.1,XP_031374237.1,LOC116188925
XM_031518378.1,XP_031374238.1,LOC116188926
XM_031518379.1,XP_031374239.1,LOC116188927
XM_031518380.1,XP_031374240.1,LOC116188928
XM_031518381.1,XP_031374241.1,LOC116188930
XM_031518382.1,XP_031374242.1,LOC116188931
XM_031518383.1,XP_031374243.1,LOC116188931
XM_031518384.1,XP_031374244.1,LOC116188929
XM_031518385.1,XP_031374245.1,LOC116188932
XM_031518386.1,XP_031374246.1,LOC116188933
XM_031518387.1,XP_031374247.1,LOC116188934
XM_031518388.1,XP_031374248.1,LOC116188935
XM_031518389.1,XP_031374249.1,LOC116188936
XM_031518390.1,XP_031374250.1,LOC116188937
XM_031518391.1,XP_031374251.1,LOC116188938
XM_031518392.1,XP_031374252.1,LOC116188940
XM_031518393.1,XP_031374253.1,LOC116188941
XM_031518394.1,XP_031374254.1,LOC116188939
XM_031518395.1,XP_031374255.1,LOC116188943
XM_031518396.1,XP_031374256.1,LOC116188944
XM_031518397.1,XP_031374257.1,LOC116188944
XM_031518398.1,XP_031374258.1,LOC116188945
XM_031518399.1,XP_031374259.1,LOC116188946
XM_031518400.1,XP_031374260.1,LOC116188947
XM_031518401.1,XP_031374261.1,LOC116188948
XM_031518402.1,XP_031374262.1,LOC116188950
XM_031518403.1,XP_031374263.1,LOC116188951
XM_031518404.1,XP_031374264.1,LOC116188951
XM_031518405.1,XP_031374265.1,LOC116188952
XM_031518406.1,XP_031374266.1,LOC116188949
XM_031518407.1,XP_031374267.1,LOC116188952
XM_031518408.1,XP_031374268.1,LOC116188952
XM_031518409.1,XP_031374269.1,LOC116188954
XM_031518410.1,XP_031374270.1,LOC116188955
XM_031518411.1,XP_031374271.1,LOC116188958
XM_031518412.1,XP_031374272.1,LOC116188962
XM_031518413.1,XP_031374273.1,LOC116188962
XM_031518414.1,XP_031374274.1,LOC116188959
XM_031518415.1,XP_031374275.1,LOC116188962
XM_031518416.1,XP_031374276.1,LOC116188962
XM_031518417.1,XP_031374277.1,LOC116188962
XM_031518418.1,XP_031374278.1,LOC116188962
XM_031518419.1,XP_031374279.1,LOC116188963
XM_031518420.1,XP_031374280.1,LOC116188964
XM_031518421.1,XP_031374281.1,LOC116188964
XM_031518422.1,XP_031374282.1,LOC116188965
XM_031518423.1,XP_031374283.1,LOC116188965
XM_031518424.1,XP_031374284.1,LOC116188965
XM_031518425.1,XP_031374285.1,LOC116188967
XM_031518426.1,XP_031374286.1,LOC116188968
XM_031518427.1,XP_031374287.1,LOC116188966
XM_031518428.1,XP_031374288.1,LOC116188969
XM_031518429.1,XP_031374289.1,LOC116188971
XM_031518430.1,XP_031374290.1,LOC116188972
XM_031518431.1,XP_031374291.1,LOC116188973
XM_031518432.1,XP_031374292.1,LOC116188974
XM_031518433.1,XP_031374293.1,LOC116188975
XM_031518434.1,XP_031374294.1,LOC116188975
XM_031518435.1,XP_031374295.1,LOC116188966
XM_031518436.1,XP_031374296.1,LOC116188975
XM_031518437.1,XP_031374297.1,LOC116188977
XM_031518438.1,XP_031374298.1,LOC116188978
XM_031518439.1,XP_031374299.1,LOC116188978
XM_031518440.1,XP_031374300.1,LOC116188979
XM_031518441.1,XP_031374301.1,LOC116188980
XM_031518442.1,XP_031374302.1,LOC116188980
XM_031518443.1,XP_031374303.1,LOC116188953
XM_031518444.1,XP_031374304.1,LOC116188966
XM_031518445.1,XP_031374305.1,LOC116188981
XM_031518446.1,XP_031374306.1,LOC116188982
XM_031518447.1,XP_031374307.1,LOC116188982
XM_031518448.1,XP_031374308.1,LOC116188983
XM_031518449.1,XP_031374309.1,LOC116188984
XM_031518450.1,XP_031374310.1,LOC116188984
XM_031518451.1,XP_031374311.1,LOC116188984
XM_031518452.1,XP_031374312.1,LOC116188966
XM_031518453.1,XP_031374313.1,LOC116188984
XM_031518454.1,XP_031374314.1,LOC116188984
XM_031518455.1,XP_031374315.1,LOC116188984
XM_031518456.1,XP_031374316.1,LOC116188984
XM_031518457.1,XP_031374317.1,LOC116188984
XM_031518458.1,XP_031374318.1,LOC116188984
XM_031518459.1,XP_031374319.1,LOC116188984
XM_031518460.1,XP_031374320.1,LOC116188984
XM_031518461.1,XP_031374321.1,LOC116188985
XM_031518462.1,XP_031374322.1,LOC116188986
XM_031518463.1,XP_031374323.1,LOC116188986
XM_031518464.1,XP_031374324.1,LOC116188988
XM_031518465.1,XP_031374325.1,LOC116188988
XM_031518466.1,XP_031374326.1,LOC116188988
XM_031518467.1,XP_031374327.1,LOC116188987
XM_031518468.1,XP_031374328.1,LOC116188989
XM_031518469.1,XP_031374329.1,LOC116188989
XM_031518470.1,XP_031374330.1,LOC116188990
XM_031518471.1,XP_031374331.1,LOC116188991
XM_031518472.1,XP_031374332.1,LOC116188992
XM_031518473.1,XP_031374333.1,LOC116188993
XM_031518474.1,XP_031374334.1,LOC116188994
XM_031518475.1,XP_031374335.1,LOC116188996
XM_031518476.1,XP_031374336.1,LOC116188997
XM_031518477.1,XP_031374337.1,LOC116188998
XM_031518478.1,XP_031374338.1,LOC116188995
XM_031518479.1,XP_031374339.1,LOC116188998
XM_031518480.1,XP_031374340.1,LOC116188998
XM_031518481.1,XP_031374341.1,LOC116188998
XM_031518482.1,XP_031374342.1,LOC116188999
XM_031518483.1,XP_031374343.1,LOC116189000
XM_031518484.1,XP_031374344.1,LOC116189001
XM_031518485.1,XP_031374345.1,LOC116189003
XM_031518486.1,XP_031374346.1,LOC116189005
XM_031518487.1,XP_031374347.1,LOC116189006
XM_031518488.1,XP_031374348.1,LOC116189007
XM_031518489.1,XP_031374349.1,LOC116189004
XM_031518490.1,XP_031374350.1,LOC116189008
XM_031518491.1,XP_031374351.1,LOC116189009
XM_031518492.1,XP_031374352.1,LOC116189009
XM_031518493.1,XP_031374353.1,LOC116189010
XM_031518494.1,XP_031374354.1,LOC116189014
XM_031518495.1,XP_031374355.1,LOC116189016
XM_031518496.1,XP_031374356.1,LOC116189016
XM_031518497.1,XP_031374357.1,LOC116189016
XM_031518498.1,XP_031374358.1,LOC116189015
XM_031518499.1,XP_031374359.1,LOC116189017
XM_031518500.1,XP_031374360.1,LOC116189019
XM_031518501.1,XP_031374361.1,LOC116189020
XM_031518502.1,XP_031374362.1,LOC116189021
XM_031518503.1,XP_031374363.1,LOC116189022
XM_031518504.1,XP_031374364.1,LOC116189022
XM_031518505.1,XP_031374365.1,LOC116189022
XM_031518506.1,XP_031374366.1,LOC116189015
XM_031518507.1,XP_031374367.1,LOC116189025
XM_031518508.1,XP_031374368.1,LOC116189026
XM_031518509.1,XP_031374369.1,LOC116189027
XM_031518510.1,XP_031374370.1,LOC116189027
XM_031518512.1,XP_031374372.1,LOC116189015
XM_031518513.1,XP_031374373.1,LOC116189029
XM_031518514.1,XP_031374374.1,LOC116189029
XM_031518515.1,XP_031374375.1,LOC116189030
XM_031518516.1,XP_031374376.1,LOC116189030
XM_031518517.1,XP_031374377.1,LOC116189030
XM_031518518.1,XP_031374378.1,LOC116189030
XM_031518519.1,XP_031374379.1,LOC116189030
XM_031518520.1,XP_031374380.1,LOC116189030
XM_031518521.1,XP_031374381.1,LOC116188953
XM_031518522.1,XP_031374382.1,LOC116189031
XM_031518523.1,XP_031374383.1,LOC116189031
XM_031518524.1,XP_031374384.1,LOC116189033
XM_031518525.1,XP_031374385.1,LOC116189032
XM_031518526.1,XP_031374386.1,LOC116189035
XM_031518527.1,XP_031374387.1,LOC116189036
XM_031518528.1,XP_031374388.1,LOC116189036
XM_031518529.1,XP_031374389.1,LOC116189036
XM_031518530.1,XP_031374390.1,LOC116189037
XM_031518531.1,XP_031374391.1,LOC116189038
XM_031518532.1,XP_031374392.1,LOC116189039
XM_031518533.1,XP_031374393.1,LOC116189032
XM_031518534.1,XP_031374394.1,LOC116189040
XM_031518535.1,XP_031374395.1,LOC116189041
XM_031518536.1,XP_031374396.1,LOC116189042
XM_031518537.1,XP_031374397.1,LOC116189043
XM_031518538.1,XP_031374398.1,LOC116189044
XM_031518539.1,XP_031374399.1,LOC116189032
XM_031518540.1,XP_031374400.1,LOC116189046
XM_031518541.1,XP_031374401.1,LOC116189047
XM_031518542.1,XP_031374402.1,LOC116189047
XM_031518543.1,XP_031374403.1,LOC116189047
XM_031518544.1,XP_031374404.1,LOC116189047
XM_031518545.1,XP_031374405.1,LOC116189047
XM_031518546.1,XP_031374406.1,LOC116189047
XM_031518547.1,XP_031374407.1,LOC116189047
XM_031518548.1,XP_031374408.1,LOC116189047
XM_031518549.1,XP_031374409.1,LOC116189032
XM_031518550.1,XP_031374410.1,LOC116189047
XM_031518551.1,XP_031374411.1,LOC116189047
XM_031518552.1,XP_031374412.1,LOC116189047
XM_031518553.1,XP_031374413.1,LOC116189047
XM_031518554.1,XP_031374414.1,LOC116189047
XM_031518555.1,XP_031374415.1,LOC116189047
XM_031518556.1,XP_031374416.1,LOC116189047
XM_031518557.1,XP_031374417.1,LOC116189047
XM_031518558.1,XP_031374418.1,LOC116189047
XM_031518559.1,XP_031374419.1,LOC116189047
XM_031518560.1,XP_031374420.1,LOC116189032
XM_031518561.1,XP_031374421.1,LOC116189047
XM_031518562.1,XP_031374422.1,LOC116189047
XM_031518563.1,XP_031374423.1,LOC116189047
XM_031518564.1,XP_031374424.1,LOC116189047
XM_031518565.1,XP_031374425.1,LOC116189047
XM_031518566.1,XP_031374426.1,LOC116189047
XM_031518567.1,XP_031374427.1,LOC116189047
XM_031518568.1,XP_031374428.1,LOC116189047
XM_031518569.1,XP_031374429.1,LOC116189047
XM_031518570.1,XP_031374430.1,LOC116189047
XM_031518571.1,XP_031374431.1,LOC116189047
XM_031518572.1,XP_031374432.1,LOC116189047
XM_031518573.1,XP_031374433.1,LOC116189049
XM_031518574.1,XP_031374434.1,LOC116189050
XM_031518575.1,XP_031374435.1,LOC116189048
XM_031518576.1,XP_031374436.1,LOC116189051
XM_031518577.1,XP_031374437.1,LOC116189051
XM_031518578.1,XP_031374438.1,LOC116189051
XM_031518579.1,XP_031374439.1,LOC116189054
XM_031518580.1,XP_031374440.1,LOC116189055
XM_031518581.1,XP_031374441.1,LOC116189056
XM_031518582.1,XP_031374442.1,LOC116189056
XM_031518583.1,XP_031374443.1,LOC116189056
XM_031518584.1,XP_031374444.1,LOC116189056
XM_031518585.1,XP_031374445.1,LOC116189056
XM_031518586.1,XP_031374446.1,LOC116189057
XM_031518587.1,XP_031374447.1,LOC116189058
XM_031518588.1,XP_031374448.1,LOC116189059
XM_031518589.1,XP_031374449.1,LOC116189061
XM_031518590.1,XP_031374450.1,LOC116189062
XM_031518591.1,XP_031374451.1,LOC116189063
XM_031518592.1,XP_031374452.1,LOC116189063
XM_031518593.1,XP_031374453.1,LOC116189063
XM_031518594.1,XP_031374454.1,LOC116189063
XM_031518595.1,XP_031374455.1,LOC116189067
XM_031518596.1,XP_031374456.1,LOC116189064
XM_031518597.1,XP_031374457.1,LOC116189068
XM_031518598.1,XP_031374458.1,LOC116189069
XM_031518599.1,XP_031374459.1,LOC116189069
XM_031518600.1,XP_031374460.1,LOC116189070
XM_031518601.1,XP_031374461.1,LOC116189071
XM_031518602.1,XP_031374462.1,LOC116189073
XM_031518603.1,XP_031374463.1,LOC116189064
XM_031518604.1,XP_031374464.1,LOC116189076
XM_031518605.1,XP_031374465.1,LOC116189077
XM_031518606.1,XP_031374466.1,LOC116189079
XM_031518607.1,XP_031374467.1,LOC116189079
XM_031518608.1,XP_031374468.1,LOC116189082
XM_031518609.1,XP_031374469.1,LOC116189084
XM_031518610.1,XP_031374470.1,LOC116189081
XM_031518611.1,XP_031374471.1,LOC116189085
XM_031518612.1,XP_031374472.1,LOC116189085
XM_031518613.1,XP_031374473.1,LOC116189085
XM_031518614.1,XP_031374474.1,LOC116189085
XM_031518615.1,XP_031374475.1,LOC116189086
XM_031518616.1,XP_031374476.1,LOC116189087
XM_031518617.1,XP_031374477.1,LOC116189088
XM_031518618.1,XP_031374478.1,LOC116189089
XM_031518619.1,XP_031374479.1,LOC116189089
XM_031518620.1,XP_031374480.1,LOC116189092
XM_031518621.1,XP_031374481.1,LOC116189090
XM_031518622.1,XP_031374482.1,LOC116189093
XM_031518623.1,XP_031374483.1,LOC116189093
XM_031518624.1,XP_031374484.1,LOC116189094
XM_031518625.1,XP_031374485.1,LOC116189094
XM_031518626.1,XP_031374486.1,LOC116189095
XM_031518627.1,XP_031374487.1,LOC116189096
XM_031518629.1,XP_031374489.1,LOC116189098
XM_031518630.1,XP_031374490.1,LOC116189098
XM_031518631.1,XP_031374491.1,LOC116189101
XM_031518632.1,XP_031374492.1,LOC116189102
XM_031518633.1,XP_031374493.1,LOC116189099
XM_031518634.1,XP_031374494.1,LOC116189102
XM_031518635.1,XP_031374495.1,LOC116189103
XM_031518636.1,XP_031374496.1,LOC116189104
XM_031518637.1,XP_031374497.1,LOC116189104
XM_031518638.1,XP_031374498.1,LOC116189074
XM_031518639.1,XP_031374499.1,LOC116189106
XM_031518640.1,XP_031374500.1,LOC116189108
XM_031518641.1,XP_031374501.1,LOC116189099
XM_031518642.1,XP_031374502.1,LOC116189109
XM_031518643.1,XP_031374503.1,LOC116189110
XM_031518644.1,XP_031374504.1,LOC116189112
XM_031518645.1,XP_031374505.1,LOC116189113
XM_031518646.1,XP_031374506.1,LOC116189113
XM_031518647.1,XP_031374507.1,LOC116189114
XM_031518648.1,XP_031374508.1,LOC116189114
XM_031518649.1,XP_031374509.1,LOC116189115
XM_031518650.1,XP_031374510.1,LOC116189115
XM_031518651.1,XP_031374511.1,LOC116189117
XM_031518652.1,XP_031374512.1,LOC116189119
XM_031518653.1,XP_031374513.1,LOC116189120
XM_031518654.1,XP_031374514.1,LOC116189123
XM_031518655.1,XP_031374515.1,LOC116189124
XM_031518656.1,XP_031374516.1,LOC116189121
XM_031518657.1,XP_031374517.1,LOC116189126
XM_031518658.1,XP_031374518.1,LOC116189127
XM_031518659.1,XP_031374519.1,LOC116189128
XM_031518660.1,XP_031374520.1,LOC116189128
XM_031518661.1,XP_031374521.1,LOC116189130
XM_031518662.1,XP_031374522.1,LOC116189121
XM_031518663.1,XP_031374523.1,LOC116189131
XM_031518664.1,XP_031374524.1,LOC116189133
XM_031518665.1,XP_031374525.1,LOC116189136
XM_031518666.1,XP_031374526.1,LOC116189136
XM_031518667.1,XP_031374527.1,LOC116189136
XM_031518668.1,XP_031374528.1,LOC116189136
XM_031518669.1,XP_031374529.1,LOC116189137
XM_031518670.1,XP_031374530.1,LOC116189139
XM_031518671.1,XP_031374531.1,LOC116189140
