transcript_id	description
XM_031516328.1	" fructokinase-1, transcript variant X1"
XM_031516329.1	" fructokinase-1, transcript variant X2"
XM_031516330.1	" fructokinase-1, transcript variant X3"
XM_031516331.1	 U3 small nucleolar ribonucleoprotein protein MPP10
XM_031516332.1	" U3 small nucleolar RNA-associated protein MPP10-like, transcript variant X1"
XM_031516333.1	" U3 small nucleolar RNA-associated protein MPP10-like, transcript variant X2"
XM_031516334.1	" uncharacterized LOC116187560, transcript variant X1"
XM_031516335.1	" uncharacterized LOC116187560, transcript variant X2"
XM_031516336.1	" uncharacterized LOC116187561, transcript variant X1"
XM_031516337.1	" probable LRR receptor-like serine/threonine-protein kinase At1g06840, transcript variant X1"
XM_031516338.1	" uncharacterized LOC116187561, transcript variant X2"
XM_031516339.1	" ATP-dependent Clp protease ATP-binding subunit ClpA homolog CD4B, chloroplastic"
XM_031516340.1	" glutathione reductase, chloroplastic, transcript variant X1"
XM_031516341.1	" glutathione reductase, chloroplastic, transcript variant X3"
XM_031516342.1	" U3 small nucleolar RNA-associated protein 18 homolog, transcript variant X1"
XM_031516343.1	" U3 small nucleolar RNA-associated protein 18 homolog, transcript variant X2"
XM_031516344.1	 protein RNA-directed DNA methylation 3
XM_031516345.1	" probable LRR receptor-like serine/threonine-protein kinase At1g06840, transcript variant X2"
XM_031516346.1	 GABA transporter 1-like
XM_031516347.1	" OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 4-like, transcript variant X1"
XM_031516348.1	" OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 4-like, transcript variant X2"
XM_031516349.1	" OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 4-like, transcript variant X3"
XM_031516350.1	" aspartate aminotransferase, chloroplastic"
XM_031516351.1	" probable receptor-like protein kinase At1g80640, transcript variant X1"
XM_031516352.1	" probable receptor-like protein kinase At1g80640, transcript variant X2"
XM_031516353.1	 uncharacterized LOC116187570
XM_031516354.1	 protein LONGIFOLIA 2-like
XM_031516355.1	" ABC transporter B family member 25-like, transcript variant X1"
XM_031516356.1	" ABC transporter B family member 25-like, transcript variant X2"
XM_031516357.1	" uncharacterized LOC116187574, transcript variant X1"
XM_031516358.1	" V-type proton ATPase subunit B2, transcript variant X1"
XM_031516359.1	" uncharacterized LOC116187574, transcript variant X2"
XM_031516360.1	" uncharacterized LOC116187574, transcript variant X3"
XM_031516361.1	" uncharacterized LOC116187574, transcript variant X4"
XM_031516362.1	" peptidyl-prolyl cis-trans isomerase CYP26-2, chloroplastic"
XM_031516363.1	 oleosin 1-like
XM_031516364.1	" serine/threonine-protein kinase ATM, transcript variant X1"
XM_031516365.1	" serine/threonine-protein kinase ATM, transcript variant X3"
XM_031516366.1	" V-type proton ATPase subunit B2, transcript variant X2"
XM_031516367.1	" uncharacterized LOC116187578, transcript variant X1"
XM_031516368.1	" uncharacterized LOC116187578, transcript variant X2"
XM_031516369.1	" flowering time control protein FPA, transcript variant X1"
XM_031516370.1	" flowering time control protein FPA, transcript variant X2"
XM_031516371.1	" UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase, transcript variant X1"
XM_031516372.1	" UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase, transcript variant X2"
XM_031516373.1	 uncharacterized LOC116187581
XM_031516374.1	" reticulon-like protein B9, transcript variant X1"
XM_031516375.1	" V-type proton ATPase subunit B2, transcript variant X3"
XM_031516376.1	" reticulon-like protein B9, transcript variant X2"
XM_031516377.1	" reticulon-like protein B9, transcript variant X3"
XM_031516378.1	" reticulon-like protein B9, transcript variant X4"
XM_031516379.1	" protein NRT1/ PTR FAMILY 2.9-like, transcript variant X1"
XM_031516380.1	" protein NRT1/ PTR FAMILY 2.9-like, transcript variant X2"
XM_031516381.1	" protein NRT1/ PTR FAMILY 2.10-like, transcript variant X1"
XM_031516382.1	" protein NRT1/ PTR FAMILY 2.10-like, transcript variant X2"
XM_031516383.1	" uncharacterized LOC116187586, transcript variant X1"
XM_031516384.1	" V-type proton ATPase subunit B2, transcript variant X4"
XM_031516385.1	" uncharacterized LOC116187586, transcript variant X2"
XM_031516386.1	 basic leucine zipper 9
XM_031516387.1	" calmodulin-like protein 6, transcript variant X1"
XM_031516388.1	" calmodulin-like protein 6, transcript variant X2"
XM_031516389.1	" calmodulin-like protein 6, transcript variant X3"
XM_031516390.1	 serine/threonine-protein kinase D6PKL1-like
XM_031516391.1	" IQ domain-containing protein IQM3-like, transcript variant X1"
XM_031516392.1	" IQ domain-containing protein IQM3-like, transcript variant X2"
XM_031516393.1	" IQ domain-containing protein IQM3-like, transcript variant X3"
XM_031516394.1	" IQ domain-containing protein IQM3-like, transcript variant X4"
XM_031516395.1	" IQ domain-containing protein IQM3-like, transcript variant X5"
XM_031516396.1	" IQ domain-containing protein IQM3-like, transcript variant X6"
XM_031516397.1	 NEP1-interacting protein 1-like
XM_031516398.1	 copper transport protein ATX1-like
XM_031516399.1	 COBRA-like protein 4
XM_031516400.1	 protein COBRA-like
XM_031516401.1	" pentatricopeptide repeat-containing protein At5g48730, chloroplastic, transcript variant X1"
XM_031516402.1	" pentatricopeptide repeat-containing protein At5g48730, chloroplastic, transcript variant X3"
XM_031516403.1	" O-fucosyltransferase 1, transcript variant X1"
XM_031516404.1	" O-fucosyltransferase 1, transcript variant X2"
XM_031516405.1	" O-fucosyltransferase 1, transcript variant X3"
XM_031516406.1	" O-fucosyltransferase 1, transcript variant X4"
XM_031516407.1	" O-fucosyltransferase 1, transcript variant X5"
XM_031516408.1	" O-fucosyltransferase 1, transcript variant X6"
XM_031516409.1	" guanylate kinase 3, chloroplastic, transcript variant X1"
XM_031516410.1	" O-fucosyltransferase 1, transcript variant X7"
XM_031516411.1	" O-fucosyltransferase 1, transcript variant X8"
XM_031516412.1	" O-fucosyltransferase 1, transcript variant X9"
XM_031516413.1	" O-fucosyltransferase 1, transcript variant X10"
XM_031516414.1	" O-fucosyltransferase 1, transcript variant X11"
XM_031516415.1	" O-fucosyltransferase 1, transcript variant X12"
XM_031516416.1	" O-fucosyltransferase 1, transcript variant X13"
XM_031516417.1	" heat shock 70 kDa protein 17-like, transcript variant X1"
XM_031516418.1	" heat shock 70 kDa protein 17-like, transcript variant X2"
XM_031516419.1	" guanylate kinase 3, chloroplastic, transcript variant X2"
XM_031516420.1	" 3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial, transcript variant X13"
XM_031516421.1	" 3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial, transcript variant X14"
XM_031516422.1	" 3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial, transcript variant X15"
XM_031516423.1	" 3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial, transcript variant X16"
XM_031516424.1	" guanylate kinase 3, chloroplastic, transcript variant X3"
XM_031516425.1	" 3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial, transcript variant X17"
XM_031516426.1	" cyclin-dependent kinase 10-like, transcript variant X2"
XM_031516427.1	" 4-coumarate--CoA ligase-like 9, transcript variant X1"
XM_031516428.1	" 4-coumarate--CoA ligase-like 9, transcript variant X2"
XM_031516429.1	 4-coumarate--CoA ligase-like 9
XM_031516430.1	 adenylate kinase 4
XM_031516431.1	" guanylate kinase 3, chloroplastic, transcript variant X4"
XM_031516432.1	 nucleolar protein 56-like
XM_031516433.1	 cycloeucalenol cycloisomerase
XM_031516434.1	" subtilisin-like protease SBT2.5, transcript variant X1"
XM_031516435.1	" subtilisin-like protease SBT2.5, transcript variant X2"
XM_031516436.1	" subtilisin-like protease SBT2.5, transcript variant X3"
XM_031516437.1	" subtilisin-like protease SBT2.5, transcript variant X4"
XM_031516438.1	" uncharacterized LOC116187609, transcript variant X1"
XM_031516439.1	" uncharacterized LOC116187609, transcript variant X2"
XM_031516440.1	" uncharacterized LOC116187609, transcript variant X3"
XM_031516441.1	" uncharacterized LOC116187609, transcript variant X4"
XM_031516442.1	" uncharacterized LOC116187609, transcript variant X5"
XM_031516443.1	" uncharacterized LOC116187609, transcript variant X6"
XM_031516444.1	" uncharacterized LOC116187611, transcript variant X1"
XM_031516445.1	" pentatricopeptide repeat-containing protein At5g39350-like, transcript variant X1"
XM_031516446.1	" protein GRAVITROPIC IN THE LIGHT 1-like, transcript variant X1"
XM_031516447.1	" uncharacterized LOC116187611, transcript variant X2"
XM_031516448.1	 RNA-dependent RNA polymerase 2
XM_031516449.1	 protein NUCLEAR FUSION DEFECTIVE 2
XM_031516450.1	 pentatricopeptide repeat-containing protein At2g40720
XM_031516451.1	 transmembrane protein 87B-like
XM_031516452.1	" tRNA-aminoacylation cofactor arc1, transcript variant X1"
XM_031516453.1	" tRNA-aminoacylation cofactor arc1, transcript variant X2"
XM_031516454.1	" protein GRAVITROPIC IN THE LIGHT 1-like, transcript variant X2"
XM_031516455.1	" spermatogenesis-associated protein 20, transcript variant X1"
XM_031516456.1	" spermatogenesis-associated protein 20, transcript variant X2"
XM_031516457.1	" transcription termination factor MTERF8, chloroplastic"
XM_031516458.1	 NAC domain-containing protein 78-like
XM_031516459.1	" malate dehydrogenase [NADP], chloroplastic"
XM_031516460.1	 probable dual-specificity RNA methyltransferase RlmN
XM_031516461.1	 receptor-like cytoplasmic kinase 176
XM_031516462.1	" protein GRAVITROPIC IN THE LIGHT 1-like, transcript variant X3"
XM_031516463.1	" serine/arginine-rich SC35-like splicing factor SCL30, transcript variant X1"
XM_031516464.1	" serine/arginine-rich SC35-like splicing factor SCL30, transcript variant X2"
XM_031516465.1	 replication factor C subunit 3
XM_031516466.1	 NAC domain-containing protein 2-like
XM_031516467.1	" transcription factor EMB1444, transcript variant X1"
XM_031516468.1	" transcription factor EMB1444, transcript variant X2"
XM_031516469.1	" transcription factor EMB1444, transcript variant X3"
XM_031516470.1	" transcription factor EMB1444, transcript variant X4"
XM_031516471.1	" MAP3K epsilon protein kinase 1-like, transcript variant X1"
XM_031516472.1	" MAP3K epsilon protein kinase 1-like, transcript variant X2"
XM_031516473.1	" MAP3K epsilon protein kinase 1-like, transcript variant X3"
XM_031516474.1	" putative disease resistance protein RGA4, transcript variant X1"
XM_031516475.1	" ribonuclease E/G-like protein, chloroplastic, transcript variant X1"
XM_031516476.1	" putative disease resistance protein RGA4, transcript variant X2"
XM_031516477.1	" putative disease resistance protein RGA3, transcript variant X1"
XM_031516478.1	" putative disease resistance protein RGA3, transcript variant X2"
XM_031516479.1	" putative disease resistance protein RGA3, transcript variant X3"
XM_031516480.1	 cytoplasmic 60S subunit biogenesis factor REI1 homolog 2-like
XM_031516481.1	" uncharacterized LOC116187632, transcript variant X1"
XM_031516482.1	" uncharacterized LOC116187632, transcript variant X2"
XM_031516483.1	 uncharacterized LOC116187633
XM_031516484.1	" ribonuclease E/G-like protein, chloroplastic, transcript variant X2"
XM_031516485.1	" tRNA-specific adenosine deaminase TAD3, transcript variant X1"
XM_031516486.1	" tRNA-specific adenosine deaminase TAD3, transcript variant X2"
XM_031516487.1	" tRNA-specific adenosine deaminase TAD3, transcript variant X3"
XM_031516488.1	" tRNA-specific adenosine deaminase TAD3, transcript variant X4"
XM_031516489.1	" tRNA-specific adenosine deaminase TAD3, transcript variant X5"
XM_031516490.1	" tRNA-specific adenosine deaminase TAD3, transcript variant X6"
XM_031516491.1	" single-stranded DNA-binding protein WHY2, mitochondrial"
XM_031516492.1	 nuclear poly(A) polymerase 1
XM_031516493.1	" ribonuclease E/G-like protein, chloroplastic, transcript variant X3"
XM_031516494.1	 uncharacterized LOC116187637
XM_031516495.1	 subtilisin-like protease SBT1.8
XM_031516496.1	 guanine nucleotide-binding protein subunit gamma 3
XM_031516497.1	" cellulose synthase A catalytic subunit 3 [UDP-forming], transcript variant X1"
XM_031516498.1	" cellulose synthase A catalytic subunit 3 [UDP-forming], transcript variant X2"
XM_031516499.1	" cellulose synthase A catalytic subunit 3 [UDP-forming], transcript variant X3"
XM_031516500.1	" cellulose synthase A catalytic subunit 3 [UDP-forming], transcript variant X4"
XM_031516501.1	 SNF2 domain-containing protein CLASSY 2-like
XM_031516502.1	 probable aspartyl aminopeptidase
XM_031516503.1	" R3H domain-containing protein 2-like, transcript variant X1"
XM_031516504.1	" R3H domain-containing protein 2-like, transcript variant X2"
XM_031516505.1	 uncharacterized LOC116187645
XM_031516506.1	" phospholipid--sterol O-acyltransferase, transcript variant X1"
XM_031516507.1	 uncharacterized LOC116187646
XM_031516508.1	" E3 ubiquitin-protein ligase BRE1A-like, transcript variant X2"
XM_031516509.1	 uncharacterized LOC116187648
XM_031516510.1	 probable glycosyltransferase At3g07620
XM_031516511.1	 uncharacterized LOC116187650
XM_031516512.1	 protein transport protein SFT2-like
XM_031516513.1	" uncharacterized LOC116187652, transcript variant X1"
XM_031516514.1	" uncharacterized LOC116187652, transcript variant X2"
XM_031516515.1	" uncharacterized LOC116187652, transcript variant X3"
XM_031516516.1	" uncharacterized LOC116187652, transcript variant X4"
XM_031516517.1	" filament-like plant protein, transcript variant X1"
XM_031516518.1	" filament-like plant protein, transcript variant X2"
XM_031516519.1	 probable E3 ubiquitin-protein ligase XERICO
XM_031516520.1	 TLC domain-containing protein 2
XM_031516521.1	 protein SLOW WALKER 1-like
XM_031516522.1	 NPL4-like protein 1
XM_031516523.1	" auxin response factor 19-like, transcript variant X1"
XM_031516524.1	" auxin response factor 19-like, transcript variant X2"
XM_031516525.1	" SWI/SNF complex component SNF12 homolog, transcript variant X1"
XM_031516526.1	" SWI/SNF complex component SNF12 homolog, transcript variant X2"
XM_031516527.1	" pentatricopeptide repeat-containing protein At5g39350-like, transcript variant X2"
XM_031516528.1	" uncharacterized LOC116187661, transcript variant X1"
XM_031516529.1	" uncharacterized LOC116187661, transcript variant X2"
XM_031516530.1	" uncharacterized LOC116187661, transcript variant X3"
XM_031516531.1	" nuclear transport factor 2, transcript variant X1"
XM_031516532.1	" spastin, transcript variant X1"
XM_031516533.1	" nuclear transport factor 2, transcript variant X2"
XM_031516534.1	" nuclear transport factor 2, transcript variant X3"
XM_031516535.1	" nuclear transport factor 2, transcript variant X4"
XM_031516536.1	" nuclear transport factor 2, transcript variant X5"
XM_031516537.1	" phosphomannomutase-like, transcript variant X1"
XM_031516538.1	" phosphomannomutase-like, transcript variant X2"
XM_031516539.1	" phosphomannomutase-like, transcript variant X1"
XM_031516540.1	" phosphomannomutase-like, transcript variant X2"
XM_031516541.1	 BRCT domain-containing protein At4g02110
XM_031516542.1	" spastin, transcript variant X2"
XM_031516543.1	 uncharacterized LOC116187666
XM_031516544.1	 TBC1 domain family member 8B
XM_031516545.1	" probable serine/threonine-protein kinase PBL7, transcript variant X1"
XM_031516546.1	" probable serine/threonine-protein kinase PBL7, transcript variant X2"
XM_031516547.1	" probable serine/threonine-protein kinase PBL7, transcript variant X3"
XM_031516548.1	" probable serine/threonine-protein kinase PBL7, transcript variant X4"
XM_031516549.1	" probable serine/threonine-protein kinase PBL7, transcript variant X5"
XM_031516550.1	 protein MAEA homolog
XM_031516551.1	" serine/arginine-rich splicing factor RS2Z32-like, transcript variant X1"
XM_031516552.1	" serine/arginine-rich splicing factor RS2Z32-like, transcript variant X2"
XM_031516553.1	" serine/arginine-rich splicing factor RS2Z32-like, transcript variant X3"
XM_031516554.1	" serine/arginine-rich splicing factor RS2Z32-like, transcript variant X4"
XM_031516555.1	 heterogeneous nuclear ribonucleoprotein Q
XM_031516556.1	" serine/arginine-rich splicing factor RS2Z32-like, transcript variant X5"
XM_031516557.1	" calcium-transporting ATPase, endoplasmic reticulum-type, transcript variant X1"
XM_031516558.1	" calcium-transporting ATPase, endoplasmic reticulum-type, transcript variant X2"
XM_031516559.1	" calcium-transporting ATPase, endoplasmic reticulum-type, transcript variant X3"
XM_031516560.1	" uncharacterized protein At4g37920, transcript variant X1"
XM_031516561.1	" uncharacterized protein At4g37920, transcript variant X2"
XM_031516562.1	" calcium sensing receptor, chloroplastic, transcript variant X1"
XM_031516563.1	" calcium sensing receptor, chloroplastic, transcript variant X2"
XM_031516564.1	" probable ADP-ribosylation factor GTPase-activating protein AGD11, transcript variant X1"
XM_031516565.1	" probable ADP-ribosylation factor GTPase-activating protein AGD11, transcript variant X2"
XM_031516566.1	" probable ADP-ribosylation factor GTPase-activating protein AGD11, transcript variant X3"
XM_031516567.1	 uncharacterized protein At5g39865-like
XM_031516568.1	 lichenase-like
XM_031516569.1	 mitogen-activated protein kinase kinase kinase 1-like
XM_031516570.1	 uncharacterized LOC116187680
XM_031516571.1	" uncharacterized LOC116187681, transcript variant X1"
XM_031516572.1	" uncharacterized LOC116187681, transcript variant X2"
XM_031516573.1	 plant intracellular Ras-group-related LRR protein 7
XM_031516574.1	" protein DETOXIFICATION 16-like, transcript variant X1"
XM_031516575.1	" protein DETOXIFICATION 16-like, transcript variant X2"
XM_031516576.1	" cyclin-dependent kinase D-3-like, transcript variant X1"
XM_031516577.1	" cyclin-dependent kinase D-3-like, transcript variant X2"
XM_031516578.1	 nuclear pore complex protein NUP88
XM_031516579.1	" putative ABC1 protein At2g40090, transcript variant X1"
XM_031516580.1	 probable bifunctional TENA-E protein
XM_031516581.1	" putative ABC1 protein At2g40090, transcript variant X2"
XM_031516582.1	" long chain acyl-CoA synthetase 8, transcript variant X1"
XM_031516583.1	" long chain acyl-CoA synthetase 8, transcript variant X2"
XM_031516584.1	" long chain acyl-CoA synthetase 8, transcript variant X3"
XM_031516585.1	" long chain acyl-CoA synthetase 8, transcript variant X4"
XM_031516586.1	 uncharacterized LOC116187689
XM_031516587.1	 uncharacterized LOC116187690
XM_031516588.1	 protein SPIRRIG
XM_031516589.1	" protein KINESIN LIGHT CHAIN-RELATED 2, transcript variant X1"
XM_031516590.1	" protein KINESIN LIGHT CHAIN-RELATED 2, transcript variant X2"
XM_031516591.1	" protein KINESIN LIGHT CHAIN-RELATED 2, transcript variant X3"
XM_031516592.1	" protein KINESIN LIGHT CHAIN-RELATED 2, transcript variant X4"
XM_031516593.1	 TORTIFOLIA1-like protein 3
XM_031516594.1	 uncharacterized LOC116187695
XM_031516595.1	 beta-galactosidase
XM_031516596.1	 phosphatidylinositol 4-phosphate 5-kinase 6-like
XM_031516597.1	" probable serine/threonine-protein kinase SIS8, transcript variant X1"
XM_031516598.1	" probable serine/threonine-protein kinase SIS8, transcript variant X2"
XM_031516599.1	" probable serine/threonine-protein kinase SIS8, transcript variant X3"
XM_031516600.1	" alpha-dioxygenase 2, transcript variant X1"
XM_031516601.1	" alpha-dioxygenase 2, transcript variant X2"
XM_031516602.1	" alpha-dioxygenase 2, transcript variant X3"
XM_031516603.1	" alpha-dioxygenase 2, transcript variant X4"
XM_031516604.1	 polygalacturonase At1g48100-like
XM_031516605.1	" alpha-dioxygenase 2, transcript variant X5"
XM_031516606.1	 mitogen-activated protein kinase 9-like
XM_031516607.1	 pectate lyase 1-like
XM_031516608.1	" peptidyl-prolyl cis-trans isomerase FKBP17-2, chloroplastic"
XM_031516609.1	 ras-related protein RABA6a-like
XM_031516610.1	 ERAD-associated E3 ubiquitin-protein ligase component HRD3A
XM_031516611.1	" pentatricopeptide repeat-containing protein At5g39350-like, transcript variant X3"
XM_031516612.1	" pentatricopeptide repeat-containing protein At1g66345, mitochondrial"
XM_031516613.1	 shaggy-related protein kinase gamma
XM_031516614.1	" transcription factor MYB3R-1, transcript variant X1"
XM_031516615.1	" transcription factor MYB3R-1, transcript variant X2"
XM_031516616.1	" transcription factor MYB3R-1, transcript variant X3"
XM_031516617.1	" aspartate aminotransferase, cytoplasmic"
XM_031516618.1	 serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' kappa isoform
XM_031516619.1	" uncharacterized LOC116187712, transcript variant X1"
XM_031516620.1	" uncharacterized LOC116187712, transcript variant X2"
XM_031516621.1	 uncharacterized LOC116187713
XM_031516622.1	" short-chain dehydrogenase TIC 32, chloroplastic, transcript variant X1"
XM_031516623.1	" short-chain dehydrogenase TIC 32, chloroplastic, transcript variant X2"
XM_031516624.1	" short-chain dehydrogenase TIC 32, chloroplastic, transcript variant X3"
XM_031516625.1	 kinetochore protein SPC25 homolog
XM_031516626.1	 uncharacterized LOC116187716
XM_031516628.1	 phenylalanine ammonia-lyase-like
XM_031516629.1	" uncharacterized LOC116187720, transcript variant X1"
XM_031516630.1	" uncharacterized LOC116187720, transcript variant X2"
XM_031516631.1	" uncharacterized LOC116187720, transcript variant X3"
XM_031516632.1	" uncharacterized LOC116187720, transcript variant X4"
XM_031516633.1	" uncharacterized LOC116187721, transcript variant X1"
XM_031516634.1	" uncharacterized LOC116187721, transcript variant X2"
XM_031516635.1	" uncharacterized LOC116187721, transcript variant X4"
XM_031516636.1	" uncharacterized LOC116187721, transcript variant X6"
XM_031516637.1	" NAD(P)H-quinone oxidoreductase subunit M, chloroplastic"
XM_031516638.1	" diphthine methyltransferase homolog, transcript variant X1"
XM_031516639.1	" uncharacterized LOC116187722, transcript variant X1"
XM_031516640.1	 DNA replication licensing factor MCM6
XM_031516641.1	" fasciclin-like arabinogalactan protein 17, transcript variant X1"
XM_031516642.1	 uncharacterized LOC116187728
XM_031516643.1	 probable pectinesterase/pectinesterase inhibitor 25
XM_031516644.1	" uncharacterized LOC116187722, transcript variant X2"
XM_031516645.1	" FRIGIDA-like protein 3, transcript variant X1"
XM_031516646.1	" FRIGIDA-like protein 3, transcript variant X2"
XM_031516647.1	 transcription initiation factor TFIID subunit 2
XM_031516648.1	 jasmonate O-methyltransferase-like
XM_031516649.1	 benzoate carboxyl methyltransferase-like
XM_031516650.1	" uncharacterized LOC116187722, transcript variant X3"
XM_031516651.1	 uncharacterized LOC116187735
XM_031516652.1	" TMV resistance protein N-like, transcript variant X1"
XM_031516653.1	" TMV resistance protein N-like, transcript variant X2"
XM_031516654.1	" TMV resistance protein N-like, transcript variant X3"
XM_031516655.1	" TMV resistance protein N-like, transcript variant X1"
XM_031516656.1	" TMV resistance protein N-like, transcript variant X2"
XM_031516657.1	" TMV resistance protein N-like, transcript variant X3"
XM_031516658.1	" TMV resistance protein N-like, transcript variant X4"
XM_031516659.1	" TMV resistance protein N-like, transcript variant X5"
XM_031516660.1	" TMV resistance protein N-like, transcript variant X6"
XM_031516661.1	 uncharacterized LOC116187739
XM_031516662.1	 BTB/POZ domain-containing protein At5g48800
XM_031516663.1	 cytochrome b5
XM_031516664.1	 transmembrane protein 45B
XM_031516665.1	 putative glycine-rich cell wall structural protein 1
XM_031516666.1	 autophagy-related protein 9
XM_031516667.1	" protein TIC236, chloroplastic, transcript variant X1"
XM_031516668.1	" protein TIC236, chloroplastic, transcript variant X2"
XM_031516669.1	" syntaxin-32, transcript variant X1"
XM_031516670.1	" syntaxin-32, transcript variant X2"
XM_031516671.1	 neurofilament heavy polypeptide-like
XM_031516672.1	 uncharacterized LOC116187748
XM_031516673.1	 uncharacterized LOC116187749
XM_031516674.1	" triose phosphate/phosphate translocator, non-green plastid, chloroplastic-like"
XM_031516675.1	" pentatricopeptide repeat-containing protein At5g39350-like, transcript variant X4"
XM_031516676.1	" dihydrolipoyl dehydrogenase 2, chloroplastic-like"
XM_031516677.1	 GDSL esterase/lipase At5g62930-like
XM_031516678.1	 GDSL esterase/lipase At5g62930-like
XM_031516679.1	 exocyst complex component EXO70H1-like
XM_031516680.1	" tricalbin-3-like, transcript variant X1"
XM_031516681.1	" tricalbin-3-like, transcript variant X2"
XM_031516682.1	" tricalbin-3-like, transcript variant X3"
XM_031516683.1	" tricalbin-3-like, transcript variant X4"
XM_031516684.1	 BTB/POZ and TAZ domain-containing protein 1-like
XM_031516685.1	" alpha/beta hydrolase domain-containing protein 17C-like, transcript variant X3"
XM_031516686.1	 vignain-like
XM_031516687.1	 uncharacterized LOC116187759
XM_031516688.1	 60S ribosomal protein L29-1-like
XM_031516689.1	" pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7-like, transcript variant X1"
XM_031516690.1	" pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7-like, transcript variant X2"
XM_031516691.1	" pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7-like, transcript variant X3"
XM_031516692.1	 protein TRANSPORT INHIBITOR RESPONSE 1-like
XM_031516693.1	 RING-H2 finger protein ATL32-like
XM_031516694.1	" trafficking protein particle complex II-specific subunit 120 homolog, transcript variant X1"
XM_031516695.1	" trafficking protein particle complex II-specific subunit 120 homolog, transcript variant X2"
XM_031516696.1	 NDR1/HIN1-like protein 1
XM_031516697.1	 uncharacterized LOC116187768
XM_031516698.1	 uncharacterized LOC116187765
XM_031516699.1	" isoamylase 2, chloroplastic, transcript variant X1"
XM_031516700.1	" isoamylase 2, chloroplastic, transcript variant X2"
XM_031516701.1	" protein PALE CRESS, chloroplastic"
XM_031516702.1	 pentatricopeptide repeat-containing protein At5g18475-like
XM_031516703.1	" uncharacterized LOC116187772, transcript variant X1"
XM_031516704.1	" uncharacterized LOC116187772, transcript variant X2"
XM_031516705.1	 putative clathrin assembly protein At5g57200
XM_031516707.1	 7-deoxyloganetic acid glucosyltransferase-like
XM_031516708.1	 trihelix transcription factor GT-3b-like
XM_031516709.1	 O-fucosyltransferase 19-like
XM_031516710.1	" NAD kinase 2, chloroplastic"
XM_031516711.1	 ubiquitin carboxyl-terminal hydrolase 18-like
XM_031516712.1	 UDP-galactose/UDP-glucose transporter 7
XM_031516713.1	" protein JOKA2, transcript variant X1"
XM_031516714.1	" protein JOKA2, transcript variant X2"
XM_031516715.1	" protein JOKA2, transcript variant X3"
XM_031516716.1	" zinc finger CCCH domain-containing protein 37, transcript variant X1"
XM_031516717.1	" beta-hexosaminidase 2, transcript variant X1"
XM_031516718.1	" beta-hexosaminidase 2, transcript variant X2"
XM_031516719.1	" beta-hexosaminidase 2, transcript variant X3"
XM_031516720.1	" beta-hexosaminidase 2, transcript variant X4"
XM_031516721.1	" beta-hexosaminidase 2, transcript variant X5"
XM_031516722.1	" beta-hexosaminidase 2, transcript variant X6"
XM_031516723.1	" beta-hexosaminidase 2, transcript variant X7"
XM_031516724.1	" beta-hexosaminidase 2, transcript variant X8"
XM_031516725.1	" beta-hexosaminidase 2, transcript variant X9"
XM_031516726.1	" beta-hexosaminidase 2, transcript variant X10"
XM_031516727.1	" zinc finger CCCH domain-containing protein 37, transcript variant X2"
XM_031516728.1	 serine/threonine-protein kinase STY13-like
XM_031516729.1	" pentatricopeptide repeat-containing protein At3g56030, mitochondrial-like"
XM_031516730.1	 cytosolic endo-beta-N-acetylglucosaminidase 1-like
XM_031516731.1	" ferritin-3, chloroplastic-like"
XM_031516732.1	 LOB domain-containing protein 12-like
XM_031516733.1	 glutaredoxin domain-containing cysteine-rich protein 1-like
XM_031516734.1	 uncharacterized LOC116187794
XM_031516735.1	 protein PARTING DANCERS-like
XM_031516736.1	" probable sodium/metabolite cotransporter BASS4, chloroplastic"
XM_031516737.1	" diphosphomevalonate decarboxylase MVD2, peroxisomal"
XM_031516738.1	" glutamate--cysteine ligase, chloroplastic"
XM_031516739.1	 protein PARTING DANCERS-like
XM_031516740.1	 protein unc-13 homolog
XM_031516741.1	 cation/H(+) antiporter 15-like
XM_031516742.1	 protein CHROMATIN REMODELING 8
XM_031516743.1	 cation/H(+) antiporter 15-like
XM_031516744.1	 cation/H(+) antiporter 15-like
XM_031516745.1	 ABC transporter B family member 20-like
XM_031516746.1	" uncharacterized LOC116187807, transcript variant X1"
XM_031516747.1	" uncharacterized LOC116187807, transcript variant X2"
XM_031516748.1	" 60S ribosomal protein L23a, transcript variant X1"
XM_031516749.1	" 60S ribosomal protein L23a, transcript variant X2"
XM_031516750.1	" pentatricopeptide repeat-containing protein At5g39350-like, transcript variant X5"
